               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047181,           0.0098629,            0.016942,              0.6445,              0.8779,             0.79448,             0.42899,            0.035133,            0.010543,            0.017479,           0.0049316,           0.0049316,            0.038432
                  37,            0.043974,            0.010283,             0.01761,             0.58604,              0.8766,             0.71594,             0.44363,            0.031491,            0.010545,             0.01648,           0.0049771,           0.0049771,            0.036677
                  38,            0.044165,           0.0094436,            0.015863,             0.55518,             0.87952,             0.74108,              0.4538,             0.03269,            0.010845,            0.016862,           0.0050167,           0.0050167,            0.034917
                  39,            0.042723,            0.010007,            0.016901,             0.64893,             0.84525,             0.81874,             0.55983,            0.029109,            0.010247,            0.015519,           0.0050505,           0.0050505,             0.03315
                  40,             0.04328,           0.0099418,            0.015392,             0.68641,              0.8854,             0.80747,             0.46992,            0.029979,            0.010053,            0.015355,           0.0050784,           0.0050784,            0.031378
                  41,            0.042905,            0.010067,            0.015954,             0.57782,             0.94681,             0.80261,             0.49869,            0.031046,           0.0099253,            0.015734,           0.0051004,           0.0051004,              0.0296
                  42,             0.04262,            0.009364,            0.014319,             0.66442,             0.82535,             0.83523,             0.53066,            0.030027,            0.010284,            0.014773,           0.0051166,           0.0051166,            0.027817
                  43,            0.038157,           0.0087468,            0.015835,             0.70881,             0.87379,             0.83306,              0.5602,            0.027625,           0.0099287,             0.01457,            0.005127,            0.005127,            0.026027
                  44,            0.037224,           0.0094593,            0.015046,             0.59379,             0.91448,             0.77451,             0.53381,            0.030183,           0.0095929,             0.01503,           0.0051317,           0.0051317,            0.024232
                  45,            0.038631,           0.0094561,            0.014086,               0.753,             0.93027,             0.85119,             0.62874,            0.025788,            0.009214,             0.01478,           0.0051307,           0.0051307,            0.022431
                  46,            0.039608,           0.0094273,            0.015329,             0.56855,             0.90006,             0.78755,             0.49951,            0.031177,           0.0096704,            0.014894,           0.0051241,           0.0051241,            0.020624
                  47,            0.037885,           0.0090945,            0.015051,             0.55028,             0.81362,             0.69619,             0.36072,            0.033965,           0.0094676,            0.014848,            0.005112,            0.005112,            0.018812
                  48,            0.037703,           0.0085968,            0.013845,             0.56711,             0.85828,             0.75269,             0.46132,            0.032135,           0.0098618,            0.015033,           0.0050944,           0.0050944,            0.016994
                  49,            0.040792,           0.0089739,            0.013131,             0.66471,             0.87306,             0.83223,             0.51797,            0.032874,           0.0095469,            0.014973,           0.0050716,           0.0050716,            0.015172
                  50,             0.04054,           0.0081627,            0.014696,             0.45181,             0.92459,             0.76416,             0.39233,             0.03776,           0.0092985,            0.014235,           0.0050435,           0.0050435,            0.013343
                  51,            0.040892,           0.0088252,            0.012738,             0.61215,             0.92269,             0.79595,             0.43921,            0.036435,            0.009382,             0.01404,           0.0050103,           0.0050103,             0.01151
                  52,            0.040594,           0.0091905,            0.013726,             0.66919,             0.93206,             0.84326,             0.59143,            0.024675,           0.0089857,            0.014067,           0.0049722,           0.0049722,           0.0096722
                  53,            0.037889,           0.0086173,             0.01368,             0.60831,             0.91979,             0.83462,             0.57016,            0.026788,            0.008814,            0.013837,           0.0049293,           0.0049293,           0.0078293
                  54,            0.033753,           0.0082819,            0.013452,             0.67003,             0.88996,             0.84352,             0.59261,            0.028226,            0.008511,            0.013554,           0.0048817,           0.0048817,           0.0059817
